"","user_id","nickname","codi_postal","genere","rang_edat","nivell_estudis","prfinal0","prfinal1","prfinal2","prfinal3","prfinal4","prfinal5","prfinal6","prfinal7","prfinal8","prfinal9","prfinal10","prfinal11","prfinal12","prfinal13","data_creacio","data_finalitzacio","acabat","data_registre","diners_inicials","diners_actuals","check_1","check_2","check_3","partida_id","is_robot","num_jugador","prfinal14","prfinal15","guany_final","num_seleccions","sorteig"
"81",122,"Nur",43870,"d",28,"r6",NA,"r1","r2","r2","r3","r1","r1","r3","r1","r1","r2","r3","r3","r2","2015-12-12 16:44:29.287357","2015-12-12 16:59:40.565302",1,"2015-12-12 16:47:29.623637",40,15,"true","false","true",21,0,6,"r1","r3",15,10,1
"82",123,"Peire ",8024,"d",34,"r6",NA,"r1","r2","r1","r3","r3","r1","r1","r1","r2","r2","r1","r3","r2","2015-12-12 16:45:36.953920","2015-12-12 17:00:11.454674",1,"2015-12-12 16:47:28.205017",40,19,"true","false","false",21,0,5,"r2","r3",19,10,1
"83",124,"Goodworld",8031,"h",29,"r3",NA,"r1","r1","r1","r2","r2","r1","r1","r1","r2","r4","r3","r3","r2","2015-12-12 16:45:39.899340","2015-12-12 17:02:12.461846",1,"2015-12-12 16:49:45.057263",40,12,"true","false","false",21,0,4,"r3","r2",12,10,1
"84",125,"Cris",8030,"d",29,"r6",NA,"r1","r2","r1","r3","r3","r2","r2","r2","r2","r2","r3","r3","r2","2015-12-12 16:46:43.929221","2015-12-12 17:00:45.352747",1,"2015-12-12 16:50:30.123678",40,19,"true","false","false",21,0,2,"r2","r3",19,10,1
"85",127,"Zidane",8022,"h",27,"r6",NA,"r1","r2","r2","r2","r2","r1","r1","r2","r1","r2","r3","r3","r2","2015-12-12 16:51:01.737708","2015-12-12 16:59:38.838962",1,"2015-12-12 16:53:02.766944",40,26,"true","false","true",21,0,1,"r1","r4",26,10,1
"86",128,"Sisen",8005,"h",24,"r6",NA,"r2","r2","r1","r3","r3","r3","r1","r1","r1","r2","r1","r3","r2","2015-12-12 16:51:21.060841","2015-12-12 17:00:20.831366",1,"2015-12-12 16:53:30.857543",40,23,"true","false","true",21,0,3,"r1","r4",23,10,1
"89",134,"E mi",8014,"h",45,"r5",NA,"r1","r1","r2","r3","r1","r3","r2","r1","r1","r2","r3","r2","r2","2015-12-12 17:07:44.415582","2015-12-12 17:25:56.750544",1,"2015-12-12 17:09:58.574349",40,14,"true","true","true",23,0,3,"r1","r2",14,10,1
"90",135,"Annunnaki ",8028,"d",39,"r7",NA,"r1","r1","r3","r2","r3","r3","r1","r3","r3","r2","r3","r3","r2","2015-12-12 17:07:45.202686","2015-12-12 17:26:58.343349",1,"2015-12-12 17:09:35.187819",40,8,"true","false","false",23,0,5,"r2","r4",8,10,1
"91",136,"Aldo",8013,"h",40,"r6",NA,"r1","r3","r1","r2","r3","r3","r3","r2","r2","r2","r1","r3","r2","2015-12-12 17:09:07.322584","2015-12-12 17:27:31.906107",1,"2015-12-12 17:12:34.817226",40,15,"true","false","false",23,0,1,"r3","r3",15,10,1
"92",137,"Fat",8013,"d",35,"r6",NA,"r1","r3","r1","r3","r3","r3","r3","r3","r3","r2","r3","r3","r2","2015-12-12 17:09:07.494954","2015-12-12 17:28:18.123214",1,"2015-12-12 17:12:34.841526",40,6,"true","false","true",23,0,2,"r2","r3",6,10,1
"93",138,"Superprospe",8016,"h",37,"r5",NA,"r1","r2","r2","r2","r1","r2","r1","r1","r2","r2","r3","r2","r2","2015-12-12 17:09:39.560566","2015-12-12 17:29:49.630861",1,"2015-12-12 17:14:34.581990",40,10,"true","false","true",23,0,4,"r1","r2",10,10,1
"94",139,"Caqui",8860,"d",46,"r6",NA,"r1","r1","r1","r2","r3","r3","r2","r1","r2","r2","r3","r3","r2","2015-12-12 17:16:20.357971","2015-12-12 17:25:56.825070",1,"2015-12-12 17:18:28.548263",40,6,"true","false","true",23,0,6,"r3","r1",6,10,1
"97",143,"Churrumbelas",8440,"d",27,"r6",NA,"r1","r1","r1","r3","r3","r3","r1","r2","r2","r2","r3","r3","r2","2015-12-12 17:18:03.039407","2015-12-12 17:44:14.694483",1,"2015-12-12 17:23:32.825633",40,20,"true","false","false",25,0,4,"r1","r4",20,10,1
"98",147,"Geo",8030,"d",30,"r3",NA,"r1","r2","r2","r3","r3","r2","r1","r2","r1","r2","r3","r3","r2","2015-12-12 17:19:42.451517","2015-12-12 17:44:50.004314",1,"2015-12-12 17:22:56.011402",40,19,"true","false","false",25,0,5,"r1","r3",19,10,1
"99",148,"Laura",8530,"d",36,"r6",NA,"r1","r2","r1","r3","r3","r2","r1","r2","r3","r2","r1","r3","r2","2015-12-12 17:21:20.473403","2015-12-12 17:43:29.216009",1,"2015-12-12 17:26:03.640962",40,19,"true","false","false",25,0,1,"r1","r2",19,10,1
"100",149,"K",8530,"h",37,"r6",NA,"r1","r2","r2","r3","r3","r3","r3","r3","r3","r2","r1","r3","r2","2015-12-12 17:21:53.984848","2015-12-12 17:44:02.291509",1,"2015-12-12 17:26:06.806549",40,8,"true","false","true",25,0,2,"r1","r4",8,10,1
"102",151,"Nuestro",8030,"h",42,"r6",NA,"r1","r2","r2","r3","r3","r1","r2","r1","r1","r1","r1","r3","r2","2015-12-12 17:31:57.732725","2015-12-12 17:43:31.215052",1,"2015-12-12 17:33:14.863992",40,19,"true","false","false",25,0,6,"r2","r2",19,10,1
"103",152,"Victoria",8191,"d",13,"r3",NA,"r1","r2","r2","r2","r3","r2","r2","r3","r3","r2","r1","r3","r2","2015-12-12 17:31:58.448333","2015-12-12 17:42:23.315096",1,"2015-12-12 17:32:44.686167",40,18,"true","false","false",25,0,3,"r1","r4",18,10,1
