"id","ha_seleccionat","seleccio","temps_seleccio","ronda_id","user_id"
485,1,4,"2015-12-12 12:33:52.888369",81,54
486,1,4,"2015-12-12 12:33:50.562748",81,55
487,1,2,"2015-12-12 12:34:13.141862",82,50
488,1,4,"2015-12-12 12:34:11.009670",82,51
489,1,3,"2015-12-12 12:34:13.280076",82,52
490,1,2,"2015-12-12 12:34:16.311519",82,53
491,1,3,"2015-12-12 12:34:10.744738",82,54
492,1,3,"2015-12-12 12:34:12.608014",82,55
493,1,1,"2015-12-12 12:34:33.083513",83,50
494,1,4,"2015-12-12 12:34:32.834095",83,51
495,1,1,"2015-12-12 12:34:34.674356",83,52
496,1,3,"2015-12-12 12:34:36.147284",83,53
497,1,2,"2015-12-12 12:34:33.759687",83,54
498,1,3,"2015-12-12 12:34:35.327139",83,55
499,1,1,"2015-12-12 12:34:53.511766",84,50
500,1,4,"2015-12-12 12:35:01.054088",84,51
501,1,2,"2015-12-12 12:34:53.735061",84,52
502,1,4,"2015-12-12 12:34:53.395473",84,53
503,1,0,"2015-12-12 12:34:54.402159",84,54
504,1,3,"2015-12-12 12:34:53.149205",84,55
505,1,0,"2015-12-12 12:35:18.318971",85,50
506,1,4,"2015-12-12 12:35:17.968777",85,51
507,1,1,"2015-12-12 12:35:19.511591",85,52
508,1,3,"2015-12-12 12:35:18.045730",85,53
509,1,4,"2015-12-12 12:35:18.965229",85,54
510,1,4,"2015-12-12 12:35:17.353046",85,55
511,1,1,"2015-12-12 12:35:37.010589",86,50
